Anbieter,Postleitzahl,Jahresverbrauch,Abschlagszahlung,Grundpreis,Arbeitspreis,Wechselbonus,Sofortbonus,Preisgarantie,Vertragslaufzeit,Verlängerung,Kündigungsfrist,Preis im 1. Jahr,Jährliche Gutschrift,Arbeitspreisrabatt,Neukundenbonus,Abschlagsrabatt,Laufzeitbonus im 1. Jahr,Vorauszahlung: jährlich,Online-Abschluss,Zzgl. Treuebonus,Aktionsrabatt,CHECK24 Sofortbonus,Online-Rabatt
Vattenfall Europe Sales GmbH,10969,7.000 kWh,monatlich,"8,80 €/Monat (105,60 €/Jahr)","27,74 Cent/kWh",206 € einmalig,40 € einmalig,24 Monate Preisfixierung,24 Monate,12 Monate,6 Wochen zum Vertragsende,"1.801,40 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Süwag Vertrieb AG & Co. KG,10969,7.000 kWh,monatlich,"17,46 €/Monat (209,52 €/Jahr)","28,06 Cent/kWh",NA,182 € einmalig,Preisfixierung bis 31.12.2021,24 Monate,12 Monate,1 Monat zum Vertragsende,"1.821,72 €/Jahr",100 €/Jahr,"1,00 Ct./kWh",NA,NA,NA,NA,NA,NA,NA,NA,NA
Stadtwerke Löbau GmbH,10969,7.000 kWh,monatlich,"8,93 €/Monat (107,10 €/Jahr)","23,44 Cent/kWh",NA,NA,keine,Jahresende,12 Monate,4 Wochen zum Vertragsende,"1.748,11 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grünwelt Energie - Eine Marke der Stromio GmbH,10969,7.000 kWh,monatlich,"32,21 €/Monat (386,49 €/Jahr)","27,54 Cent/kWh",NA,180 € einmalig,24 Monate Preisfixierung,24 Monate,12 Monate,6 Wochen zum Vertragsende,"1.787,15 €/Jahr",NA,NA,15 % auf Rechnungsbetrag (347 € ),NA,NA,NA,NA,NA,NA,NA,NA
Grünwelt Energie - Eine Marke der Stromio GmbH,10969,7.000 kWh,monatlich,"32,26 €/Monat (387,07 €/Jahr)","27,54 Cent/kWh",NA,180 € einmalig,24 Monate Preisfixierung,24 Monate,12 Monate,6 Wochen zum Vertragsende,"1.787,64 €/Jahr",NA,NA,15 % auf Rechnungsbetrag (347 € ),NA,NA,NA,NA,NA,NA,NA,NA
Vattenfall Europe Sales GmbH,10969,7.000 kWh,monatlich,"8,80 €/Monat (105,60 €/Jahr)","27,74 Cent/kWh",206 € einmalig,40 € einmalig,24 Monate Preisfixierung,24 Monate,12 Monate,6 Wochen zum Vertragsende,"1.801,40 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MAINGAU Energie GmbH,10969,7.000 kWh,monatlich,"0,00 €/Monat (0,00 €/Jahr)","30,71 Cent/kWh",NA,46 € einmalig,24 Monate Preisfixierung,24 Monate,12 Monate,1 Monat zum Vertragsende,"1.805,70 €/Jahr",NA,NA,298 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
innogy Direkt GmbH,10969,7.000 kWh,monatlich,"7,44 €/Monat (89,26 €/Jahr)","27,95 Cent/kWh",NA,NA,keine,1 Monat,1 Monat,2 Wochen zum Vertragsende,"1.806,76 €/Jahr",NA,NA,239 € einmalig,NA,NA,NA,NA,NA,NA,NA,NA
Grünwelt Energie - Eine Marke der Stromio GmbH,10969,7.000 kWh,monatlich,"32,21 €/Monat (386,49 €/Jahr)","27,54 Cent/kWh",NA,160 € einmalig,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.807,15 €/Jahr",NA,NA,15 % auf Rechnungsbetrag (347 € ),NA,NA,NA,NA,NA,NA,NA,NA
Vattenfall Europe Sales GmbH,10969,7.000 kWh,monatlich,"8,80 €/Monat (105,60 €/Jahr)","27,54 Cent/kWh",206 € einmalig,20 € einmalig,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.807,40 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jura Power GmbH & Co. KG,10969,7.000 kWh,monatlich,"14,13 €/Monat (169,58 €/Jahr)","30,06 Cent/kWh",NA,125 € einmalig,12 Monate Preisgarantie,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.807,53 €/Jahr",NA,NA,15 % auf Rechnungsbetrag (341 € ),NA,NA,NA,NA,NA,NA,NA,NA
Grünwelt Energie - Eine Marke der Stromio GmbH,10969,7.000 kWh,monatlich,"32,26 €/Monat (387,07 €/Jahr)","27,54 Cent/kWh",NA,160 € einmalig,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.807,64 €/Jahr",NA,NA,15 % auf Rechnungsbetrag (347 € ),NA,NA,NA,NA,NA,NA,NA,NA
eprimo GmbH,10969,7.000 kWh,monatlich,"19,83 €/Monat (238,01 €/Jahr)","26,68 Cent/kWh",NA,158 € einmalig,12 Monate Preisfixierung,12 Monate,12 Monate,6 Wochen zum Vertragsende,"1.807,97 €/Jahr",NA,"2,00 Ct./kWh",NA,NA,NA,NA,NA,NA,NA,NA,NA
Vattenfall Europe Sales GmbH,10969,7.000 kWh,monatlich,"10,30 €/Monat (123,60 €/Jahr)","27,74 Cent/kWh",206 € einmalig,50 € einmalig,24 Monate Preisfixierung,24 Monate,12 Monate,6 Wochen zum Vertragsende,"1.809,40 €/Jahr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
